semimajor_axis,eccentricity,file_name,cluster_index
1.981659990170920e+05,3.289999548160343e-02,10140.csv,1
1.981669990170870e+05,3.289999548160327e-02,10141.csv,1
1.981679990170820e+05,3.289999548160408e-02,10142.csv,1
1.981689990170770e+05,3.289999548160412e-02,10143.csv,1
1.981699990170720e+05,3.289999548160369e-02,10144.csv,1
1.981709990170670e+05,3.289999548160431e-02,10145.csv,1
1.980189990178210e+05,3.289999548160277e-02,10146.csv,0
1.981719990170630e+05,3.289999548160407e-02,10147.csv,1
1.981729990170580e+05,3.289999548160388e-02,10148.csv,1
1.981739990170520e+05,3.289999548160384e-02,10149.csv,1
1.981929990710600e+05,2.799995588904994e-03,1015.csv,0
1.981749990170480e+05,3.289999548160426e-02,10150.csv,1
1.981759990170430e+05,3.289999548160388e-02,10151.csv,1
1.981769990170380e+05,3.289999548160361e-02,10152.csv,1
1.981779990170330e+05,3.289999548160387e-02,10153.csv,2
1.981789990170280e+05,3.289999548160411e-02,10154.csv,1
1.981799990170230e+05,3.289999548160386e-02,10155.csv,1
1.981809990170180e+05,3.289999548160428e-02,10156.csv,1
1.980199990178160e+05,3.289999548160341e-02,10157.csv,0
1.981819990170130e+05,3.289999548160429e-02,10158.csv,1
1.981829990170080e+05,3.289999548160346e-02,10159.csv,1
1.981939990710550e+05,2.799995588905001e-03,1016.csv,0
1.981839990170030e+05,3.289999548160406e-02,10160.csv,1
1.981849990169980e+05,3.289999548160406e-02,10161.csv,1
1.981859990169930e+05,3.289999548160408e-02,10162.csv,1
1.981869990169880e+05,3.289999548160384e-02,10163.csv,1
1.981879990169830e+05,3.289999548160404e-02,10164.csv,1
1.981889990169780e+05,3.289999548160386e-02,10165.csv,1
