semimajor_axis,eccentricity,file_name,cluster_index
198201.999011742,0.0356999954718461,10062.csv,1
198202.999011737,0.0356999954718468,10063.csv,1
198203.999011732,0.0356999954718463,10064.csv,1
198204.999011727,0.035699995471847,10065.csv,1
198205.999011722,0.0356999954718461,10066.csv,1
198206.999011717,0.0356999954718462,10067.csv,1
198102.999017405,0.0328999954816033,10068.csv,1
198207.999011712,0.0356999954718461,10069.csv,1
198185.999071092,0.0027999955889048,1007.csv,0
198208.999011707,0.0356999954718462,10070.csv,1
198209.999011702,0.0356999954718466,10071.csv,1
198103.9990174,0.0328999954816033,10072.csv,1
198104.999017395,0.0328999954816033,10073.csv,1
198105.99901739,0.0328999954816035,10074.csv,1
198106.999017385,0.0328999954816037,10075.csv,1
198107.99901738,0.0328999954816041,10076.csv,1
198108.999017375,0.0328999954816035,10077.csv,1
198109.99901737,0.0328999954816029,10078.csv,1
198110.999017365,0.0328999954816037,10079.csv,1
198186.999071088,0.00279999558890485,1008.csv,0
198012.999017851,0.0328999954816034,10080.csv,0
198111.99901736,0.0328999954816035,10081.csv,1
198112.999017355,0.0328999954816041,10082.csv,1
198113.99901735,0.0328999954816041,10083.csv,1
198114.999017345,0.0328999954816039,10084.csv,1
198115.99901734,0.0328999954816039,10085.csv,1
198116.999017335,0.0328999954816035,10086.csv,1
198117.99901733,0.0328999954816042,10087.csv,1
198118.999017325,0.0328999954816035,10088.csv,1
198119.99901732,0.0328999954816035,10089.csv,2
198100.999076385,4.66234445921782e-09,1009.csv,3
198120.999017315,0.0328999954816033,10090.csv,2
198013.999017846,0.0328999954816032,10091.csv,0
198121.99901731,0.0328999954816035,10092.csv,2
198122.999017305,0.0328999954816033,10093.csv,2
198123.999017301,0.0328999954816037,10094.csv,2
198124.999017295,0.0328999954816035,10095.csv,2
198125.99901729,0.032899995481603,10096.csv,2
198126.999017286,0.0328999954816033,10097.csv,2
198127.999017281,0.0328999954816044,10098.csv,2
198128.999017276,0.0328999954816039,10099.csv,2
198166.999076077,4.66234390417569e-09,101.csv,1
198187.999071083,0.00279999558890504,1010.csv,0
198129.999017271,0.0328999954816039,10100.csv,2
198130.999017266,0.0328999954816035,10101.csv,2
